## vehicles
"make","model","note","distance","volume","consumption"
"Toyota","Prius","","2","2","2" 
## fillups
"make","model","date","mileage","fuel","price","partial","note" 
"Toyota","Prius","2011-03-06","132429","7.825","3.481","0","Kwik Trip Palomino Dr.   VISA 0.0 Tank mpg 35.1 $27.24 "
"Toyota","Prius","2011-03-12","132722","8.416","3.291","0","Kwik Trip Florence trail  VISA 0.0  $27.70 "
"Toyota","Prius","2011-03-19","133058","9.005","3.237","0","Kwik Trip Florence trail  VISA 0.0  $29.15 "
"Toyota","Prius","2011-03-23","133407","6.002","3.399","1","Holiday Industrial blvd  VISA 0.0  $20.40 "
"Toyota","Prius","2011-03-23","133434","3.524","2.892","0","Kwik Trip County Road 11  VISA 0.0  $10.19 "
"Toyota","Prius","2011-03-30","133755","8.807","3.465","0","Kwik Trip Florence trail  VISA 0.0 Tank mpg 37.8 $30.52 "
"Toyota","Prius","2011-04-08","134111","7.000","3.779","1","Sinclair Diffley  VISA 0.0 Tank mpg 39.1 $26.45 "
"Toyota","Prius","2011-04-13","134377","8.304","3.859","0","Kwik Trip 145th Street  VISA 0.0 Tank mpg 40.8 $32.05 "
"Toyota","Prius","2011-04-20","134699","8.300","3.659","0","Kwik Trip Florence trail  VISA 0.0 Tank mpg 38.9 $30.37 "
"Toyota","Prius","2011-04-27","135071","9.681","3.696","0","Kwik Trip Florence trail  VISA 0.0 Tank mpg 39.9 $35.78 "
"Toyota","Prius","2011-05-04","135389","8.204","3.715","0","Kwik Trip Florence trail  VISA 454.0 Tank mpg 39.9 $30.48 "
"Toyota","Prius","2011-05-11","135740","8.300","3.855","0","Kwik Trip County Road 11  VISA 0.0 Tank mpg 44.5 $32.00 "
"Toyota","Prius","2011-05-20","136142","8.803","3.632","0","Kwik Trip Dodd Rd  VISA 0.0 Tank mpg 43.5 $31.97 "
"Toyota","Prius","2011-05-29","136549","9.405","3.593","0","Kwik Trip Florence trail  VISA 0.0 Tank mpg 43.9 $33.79 "
"Toyota","Prius","2011-06-07","136945","10.086","3.719","0","PDQ Diffley & PKRoad  VISA 0.0 Tank mpg 42.1 Was higher  but using AC for a couple days pulled it down.  $37.51 "
"Toyota","Prius","2011-06-16","137378","9.407","3.446","0","Kwik Trip Palomino Dr.   VISA 0.0 Tank mpg 44.5 $32.42 "
"Toyota","Prius","2011-07-02","137776","10.106","3.579","0","Sinclair Diffley  VISA 0.0 Tank mpg 41.6 $36.17 "
"Toyota","Prius","2011-07-07","138165","10.021","3.459","0","Kwik Trip   VISA 0.0 Tank mpg 40.3 $34.66 "
"Toyota","Prius","2011-07-09","138529","7.540","3.599","0","Mobil   VISA 0.0 Tank mpg 41.2 $27.14 "
"Toyota","Prius","2011-07-09","138905","9.640","3.559","0","Casey's   VISA 0.0 Tank mpg 44.8 $34.31 "
"Toyota","Prius","2011-07-14","139350","1.503","3.779","1","Sinclair Diffley  VISA 0.0 Tank mpg 43.4 $5.68 "
"Toyota","Prius","2011-07-17","139438","10.425","3.669","0","Kwik Trip Florence trail  VISA 0.0 Tank mpg 43.1 $38.25 "
"Toyota","Prius","2011-07-25","139853","10.408","3.679","0","Kwik Trip County Road 11  VISA 0.0 Tank mpg 39.9 $38.29 "
"Toyota","Prius","2011-08-03","140254","9.800","3.729","0","Kwik Trip County Road 11  VISA 0.0 Tank mpg 42.2 $36.54 "
"Toyota","Prius","2011-08-06","140659","10.073","3.509","0","Tesoro Moorhead  VISA 0.0 Tank mpg 40.6 $35.35 "
"Toyota","Prius","2011-08-10","141068","10.005","3.589","0","Kwik Trip County Road 11  VISA 0.0 Tank mpg 41.0 $35.91 "
"Toyota","Prius","2011-08-16","141446","8.007","3.629","0","Kwik Trip Florence trail  MasterCard 0.0 Tank mpg 43.9 $29.06 "
"Toyota","Prius","2011-08-26","141848","1.316","3.799","1","Holiday Industrial blvd  MasterCard 0.0 Tank mpg 42.6 $5.00 "
"Toyota","Prius","2011-08-27","141911","10.002","3.749","0","Kwik Trip Florence trail  MasterCard 0.0 Tank mpg 42.8 $37.50 "
"Toyota","Prius","2011-09-08","142320","9.493","3.799","0","New Mart Blackhawks Rd  MasterCard 0.0 Tank mpg 44.4 $36.06 "
"Toyota","Prius","2011-09-18","142733","9.500","3.589","0","Kwik Trip Florence trail  MasterCard 0.0 Tank mpg 41.3 $34.10 "
"Toyota","Prius","2011-09-24","143080","1.428","3.501","1","Holiday Industrial blvd  MasterCard 0.0 Tank mpg 43.0 $5.00 "
"Toyota","Prius","2011-09-25","143138","8.119","3.449","0","Kwik Trip Florence trail  MasterCard 45.0 Tank mpg 42.6 $28.00 "
"Toyota","Prius","2011-10-05","143565","9.711","3.229","0","Kwik Trip Florence trail  MasterCard 0.0 Tank mpg 45.1 $31.36 "
"Toyota","Prius","2011-10-16","144001","1.004","3.596","1","Holiday Diffley  MasterCard 0.0 Tank mpg 43.8 $3.61 "
"Toyota","Prius","2011-10-17","144040","0.999","3.504","1","Holiday Industrial blvd  MasterCard 0.0  $3.50 "
"Toyota","Prius","2011-10-17","144065","9.403","3.479","0","Kwik Trip Florence trail  MasterCard 0.0 Tank mpg 44.1 $32.71 "
"Toyota","Prius","2011-10-26","144477","9.304","3.279","0","Kwik Trip Palomino Dr.   MasterCard 0.0 Tank mpg 43.6 $30.51 "
"Toyota","Prius","2011-11-05","144883","10.001","3.369","0","Kwik Trip Dodd Rd  MasterCard 0.0 Tank mpg 41.7 $33.69 "
"Toyota","Prius","2011-11-14","145285","10.104","3.109","0","Kwik Trip County Road 11  MasterCard 0.0 Tank mpg 40.5 $31.41 "
