## vehicles
"make","model","note","distance","volume","consumption"
"1997::Volvo","850","","2","2","2"
## fillups
"make","model","year","date","mileage","volume","price","partial","missed","type","note"
"Volvo","850","1997","2012-02-25","159855","14.393","3.619","0","0","87",""
"Volvo","850","1997","2012-01-25","159546","13.584","3.339","0","0","87",""
"Volvo","850","1997","2011-12-27","159239","15.07","3.109","0","0","87",""
"Volvo","850","1997","2011-11-16","158882","15.35","3.259","0","0","87",""
"Volvo","850","1997","2011-11-02","158509","16.03","3.279","0","0","87",""
"Volvo","850","1997","2011-10-15","158170","14.88","3.319","0","0","87",""
"Volvo","850","1997","2011-09-30","157832","13.78","3.339","0","0","87",""
"Volvo","850","1997","2011-09-09","157494","14.56","3.539","0","1","87",""
"Volvo","850","1997","2011-07-21","156808","14.47","3.699","0","0","87",""
"Volvo","850","1997","2011-07-09","156479","13.84","3.599","0","1","87",""
"Volvo","850","1997","2011-06-24","155755","14.54","3.599","0","0","87",""
"Volvo","850","1997","2011-06-15","155425","13.74","3.659","0","0","87",""
"Volvo","850","1997","2011-06-02","155075","16.45","3.739","0","0","87",""
"Volvo","850","1997","2011-05-23","154662","14.64","3.799","0","0","87",""
"Volvo","850","1997","2011-05-16","154293","14.77","3.819","0","0","87",""
"Volvo","850","1997","2011-05-10","153895","11.66","3.859","0","0","87",""
"Volvo","850","1997","2011-05-01","153605","13.83","3.819","0","0","87",""
"Volvo","850","1997","2011-04-25","153236","13.98","3.729","0","0","87",""
"Volvo","850","1997","2011-04-18","152856","14.82","3.739","0","0","87",""
"Volvo","850","1997","2011-04-09","152478","17.02","3.579","0","0","87",""
"Volvo","850","1997","2011-03-29","152069","16.07","3.399","0","0","87",""
"Volvo","850","1997","2011-03-19","151671","15.98","3.379","0","0","87",""
"Volvo","850","1997","2011-03-14","151281","11.69","3.439","0","0","87",""
"Volvo","850","1997","2011-03-05","150976","15.72","3.319","0","0","87",""
"Volvo","850","1997","2011-02-21","150595","15.76","3.299","0","0","87",""
"Volvo","850","1997","2011-02-13","150226","15.26","3.279","0","0","87",""
"Volvo","850","1997","2011-02-04","149853","15.16","3.279","0","0","87",""
"Volvo","850","1997","2011-01-29","149821","13.85","3.079","0","0","87",""
"Volvo","850","1997","2011-01-20","149510","14.44","3.259","0","0","87",""
"Volvo","850","1997","2011-01-14","149154","15.9","3.339","0","0","87",""
"Volvo","850","1997","2011-01-05","148752","15.96","3.199","0","0","87",""
"Volvo","850","1997","2010-12-27","148371","14.17","3.199","0","0","87",""
"Volvo","850","1997","2010-12-18","148025","14.51","3.159","0","0","87",""
"Volvo","850","1997","2010-12-09","147686","14.55","3.139","0","0","87",""
"Volvo","850","1997","2010-11-27","147290","15.28","3.059","0","0","87",""
"Volvo","850","1997","2010-11-19","146952","13.78","3.059","0","0","87",""
"Volvo","850","1997","2010-11-12","146615","16.42","3.019","0","0","87",""
"Volvo","850","1997","2010-11-02","146278","11.81","2.919","0","0","87",""
"Volvo","850","1997","2010-10-24","146016","15.98","2.959","0","0","87",""
"Volvo","850","1997","2010-10-23","145630","7.71","2.959","0","1","87",""
"Volvo","850","1997","2010-10-13","144785","16.08","2.919","0","0","87",""
"Volvo","850","1997","2010-10-03","144379","13.93","2.819","0","0","87",""
"Volvo","850","1997","2010-09-29","144037","14.05","3.199","0","0","87",""
"Volvo","850","1997","2010-09-20","143684","14.68","3.099","0","0","87",""
"Volvo","850","1997","2010-09-14","143300","14.8","2.799","0","0","87",""
